 Cameron Earl (UK)&June 18, 1952
 Chet Miller (USA)&May 15, 1953
 Charles de Tornaco (BEL)&September 18, 1953
 Onofre Marimón (ARG)&July 31, 1954
 Mario Alborghetti (ITA)&April 11, 1955
 Manny Ayulo (USA)&May 16, 1955
 Bill Vukovich (USA)&May 30, 1955
 Eugenio Castellotti (ITA)&March 14, 1957
 Keith Andrews (USA)&May 15, 1957
 Pat O'Connor (USA)&May 30, 1958
 Luigi Musso (ITA)&July 6, 1958
 Peter Collins (UK)&August 3, 1958
 Stuart Lewis-Evans (UK)&September 19, 1958
 Jerry Unser, Jr. (USA)&May 17, 1959
 Bob Cortner (USA)&May 19, 1959
 Harry Schell (USA)&May 13, 1960
 Chris Bristow (UK)&June 19, 1960
 Alan Stacey (UK)&June 19, 1960
 Shane Summers (UK)&June 1, 1961
 Giulio Cabianca (ITA)&June 15, 1961
 Wolfgang von Trips (GER)&September 10, 1961
 Ricardo Rodríguez (MEX)&November 1, 1962
 Gary Hocking (Rhodesia and Nyasaland)&December 21, 1962
 Carel Godin de Beaufort (NED)&August 2, 1964
 John Taylor (UK)[C]&August 7, 1966
 Lorenzo Bandini (ITA)[D]&May 7, 1967
 Bob Anderson (UK)&August 14, 1967
 Jo Schlesser (FRA)&July 7, 1968
 Gerhard Mitter (GER)&August 2, 1969
 Martin Brain (UK)&May 25, 1970
 Piers Courage (UK)&June 7, 1970
 Jochen Rindt (AUT)&September 5, 1970
 Jo Siffert (SUI)&October 24, 1971
 Roger Williamson (UK)&July 29, 1973
 François Cevert (FRA)&October 6, 1973
 Peter Revson (USA)&March 30, 1974
 Helmuth Koinigg (AUT)&October 6, 1974
 Mark Donohue (USA)&August 19, 1975
 Tom Pryce (UK)[E]&March 5, 1977
 Brian McGuire (AUS)&August 29, 1977
 Ronnie Peterson (SWE)[F]&September 10, 1978
 Patrick Depailler (FRA)&August 1, 1980
 Gilles Villeneuve (CAN)&May 8, 1982
 Riccardo Paletti (ITA)&June 13, 1982
 Elio de Angelis (ITA)&May 15, 1986
 Roland Ratzenberger (AUT)&April 30, 1994
 Ayrton Senna (BRA)&May 1, 1994
 John Dawson-Damer (UK)&June 24, 2000
 Fritz Glatz (AUT)&July 14, 2002
